asset_key,tag_id,equipment_name,system_name,unit_name,design_life_years,install_date,material_grade,damage_mechanism_primary,damage_mechanism_secondary
1,CDU-001-PT,Atmospheric Column C-101,Crude Distillation System,CDU,30,2005-03-15,CS A106 Gr B,Sulfidation,Naphthenic Acid Corrosion
2,CDU-002-TT,Crude Preheat Exchanger E-102,Heat Exchange System,CDU,25,2006-07-20,CS A106 Gr B,Sulfidation,CUI
3,CDU-003-PT,Overhead Receiver D-103,Separation System,CDU,30,2005-03-15,CS A516 Gr 70,Naphthenic Acid Corrosion,Sulfidation
4,CDU-004-TT,Sidecut Stripper C-104,Fractionation System,CDU,30,2005-03-18,CS A516 Gr 70,Sulfidation,
5,CDU-005-PT,Bottoms Pump P-105A,Crude Transfer System,CDU,20,2010-05-12,CS A106 Gr B,Erosion-Corrosion,Sulfidation
6,CDU-006-PT,Desalter V-106,Desalting System,CDU,25,2007-02-28,CS A516 Gr 70,Naphthenic Acid Corrosion,CUI
7,CDU-007-TT,Furnace F-107,Fired Heater System,CDU,35,2005-03-15,9Cr-1Mo,Creep,Thermal Fatigue
8,CDU-008-FT,Reflux Drum D-108,Overhead System,CDU,30,2005-03-15,CS A516 Gr 70,Naphthenic Acid Corrosion,
9,CDU-009-PT,Wash Water Settler D-109,Desalting System,CDU,25,2008-11-03,CS A516 Gr 70,CUI,Naphthenic Acid Corrosion
10,CDU-010-TT,Heavy Gas Oil Draw E-110,Heat Exchange System,CDU,25,2007-06-14,CS A106 Gr B,Sulfidation,
11,CDU-011-PT,Light Gas Oil Stripper C-111,Stripping System,CDU,30,2005-03-18,CS A516 Gr 70,Sulfidation,
12,CDU-012-TT,Kerosene Draw System E-112,Product Draw System,CDU,25,2006-09-22,CS A106 Gr B,Sulfidation,Naphthenic Acid Corrosion
13,CDU-013-PT,Naphtha Stabilizer C-113,Stabilization System,CDU,30,2005-03-15,CS A516 Gr 70,Naphthenic Acid Corrosion,
14,CDU-014-FT,Crude Charge Pump P-114A,Crude Transfer System,CDU,20,2012-04-17,CS A106 Gr B,Erosion-Corrosion,Sulfidation
15,CDU-015-PT,Steam Generator E-115,Heat Recovery System,CDU,25,2008-01-09,CS A106 Gr B,CUI,Erosion-Corrosion
16,CDU-016-TT,Vacuum Tower Feed E-116,Heat Exchange System,CDU,25,2007-08-30,CS A106 Gr B,Sulfidation,
17,CDU-017-PT,Sour Water Drum D-117,Sour Water System,CDU,25,2006-12-05,CS A516 Gr 70,Amine Corrosion,H2S Corrosion
18,CDU-018-TT,Product Cooler E-118,Cooling System,CDU,25,2009-03-26,CS A106 Gr B,CUI,Sulfidation
19,CDU-019-PT,Flash Drum D-119,Flash System,CDU,30,2005-03-15,CS A516 Gr 70,Sulfidation,
20,CDU-020-FT,Slop Oil System P-120A,Slop System,CDU,20,2011-07-19,CS A106 Gr B,Erosion-Corrosion,
21,CDU-021-PT,Reflux Pump P-121A,Overhead System,CDU,20,2010-10-08,CS A106 Gr B,Erosion-Corrosion,Naphthenic Acid Corrosion
22,CDU-022-TT,Product Rundown E-122,Product System,CDU,25,2008-05-14,CS A106 Gr B,CUI,
23,CDU-023-PT,Amine Contactor C-123,Gas Treating System,CDU,25,2007-11-29,CS A516 Gr 70,Amine Corrosion,H2S Corrosion
